Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-07-06,Sábado,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-07,Domingo,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-08,Segunda-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-09,Terça-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-10,Quarta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-11,Quinta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-12,Sexta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-13,Sábado,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-14,Domingo,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-15,Segunda-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-16,Terça-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-17,Quarta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-18,Quinta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-19,Sexta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-20,Sábado,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
